Clade,Crown age (MY),best model dysploidy rate,best model polyploidy rate,best model loss rate,best model gain rate
Iridaceae,81.29,0.203154,0.096231,0.139400,0.063754
Juglandaceae,38.34,0.006246,0.006282,0.006246,0.000000
Juncaceae,32.56,0.035441,0.125701,0.013067,0.022374
Lamiaceae,32.88,0.975918,0.228304,0.521434,0.454483
Lauraceae,88.13,0.006734,0.010286,0.006734,0.000000
Lecythidaceae,56.03,0.014381,0.014628,0.002683,0.011698
Lentibulariaceae,39.95,0.117942,0.039876,0.117942,0.000000
Liliaceae,58.45,0.023801,0.016412,0.023801,0.000000
Linaceae,28.08,0.165974,0.060178,0.127154,0.038820
Loasaceae,64.96,0.102135,0.012907,0.102135,0.000000
Loganiaceae,34.44,0.017094,0.030782,0.000000,0.017094
Loranthaceae,25.24,0.025391,0.031049,0.005378,0.020013
Lythraceae,67.98,0.020328,0.027489,0.019744,0.000584
Magnoliaceae,59.80,0.000000,0.022043,0.000000,0.000000
Malpighiaceae,69.85,0.009012,0.038935,0.009012,0.000000
Malvaceae,69.12,0.094092,0.116657,0.062845,0.031247
Marantaceae,59.25,0.274764,0.009410,0.274764,0.000000
Melanthiaceae,63.72,0.008000,0.021442,0.008000,0.000000
Melastomataceae,59.84,0.221066,0.059054,0.178929,0.042137
Meliaceae,52.76,0.876877,0.008255,0.300277,0.576600
Menispermaceae,67.06,0.011594,0.009621,0.011594,0.000000
Menyanthaceae,60.07,0.000000,0.045927,0.000000,0.000000
Monimiaceae,80.35,0.003770,0.012502,0.000000,0.003770
Montiaceae,21.41,0.159969,0.252304,0.159969,0.000000
Moraceae,54.80,0.014662,0.010433,0.012132,0.002530
Myrtaceae,71.30,0.006578,0.010459,0.006578,0.000000
Nepenthaceae,61.27,0.005135,0.000000,0.005135,0.000000
Nothofagaceae,41.58,0.004305,0.000000,0.000000,0.004305
Nyctaginaceae,34.71,0.291911,0.071520,0.051849,0.240062
Nymphaeaceae,106.31,0.011156,0.023476,0.000000,0.011156
Oleaceae,39.35,0.023768,0.025428,0.018803,0.004966
Onagraceae,62.52,0.029970,0.018931,0.029970,0.000000
Orchidaceae,111.45,0.173134,0.012995,0.095979,0.077155
Orobanchaceae,35.49,0.087271,0.034173,0.066546,0.020725
Oxalidaceae,56.46,0.016038,0.025671,0.012683,0.003356
Paeoniaceae,53.80,0.000000,0.006043,0.000000,0.000000
Papaveraceae,112.98,0.016513,0.028596,0.000000,0.016513
Passifloraceae,59.78,0.007064,0.024882,0.000000,0.007064
Phrymaceae,27.41,0.082785,0.036109,0.062764,0.020021
Phyllanthaceae,98.32,0.045181,0.014930,0.036513,0.008667
Piperaceae,31.23,0.030884,0.031129,0.009928,0.020956
Pittosporaceae,56.78,0.000000,0.003087,0.000000,0.000000
Plantaginaceae,31.71,0.128878,0.220832,0.090085,0.038794
Plumbaginaceae,40.63,0.039965,0.022222,0.039965,0.000000
Poaceae,47.76,0.276695,0.708888,0.230468,0.046227
Polemoniaceae,68.63,0.011613,0.008664,0.011613,0.000000
Polygalaceae,60.13,1.254992,0.054967,0.585642,0.669350
Polygonaceae,54.01,0.051520,0.111972,0.025285,0.026236
Pontederiaceae,60.10,0.017297,0.018919,0.017004,0.000293
Potamogetonaceae,39.17,0.010239,0.018881,0.002736,0.007504
Primulaceae,54.04,0.069497,0.041978,0.062156,0.007342
Proteaceae,92.31,0.022753,0.002771,0.021714,0.001039
Ranunculaceae,105.45,0.005584,0.028792,0.004301,0.001282
Restionaceae,41.66,0.021995,0.020609,0.000000,0.021995
Rhamnaceae,76.18,0.013117,0.023567,0.013117,0.000000
Rhizophoraceae,88.00,0.027762,0.004518,0.027762,0.000000
Rosaceae,82.29,0.007752,0.041755,0.003017,0.004735
Rubiaceae,56.87,0.019007,0.049784,0.015443,0.003565
Rutaceae,45.47,0.045608,0.063429,0.028242,0.017366
Salicaceae,78.47,0.009458,0.025216,0.009458,0.000000
Sapindaceae,66.25,0.040232,0.008806,0.040232,0.000000
Sapotaceae,67.56,0.042755,0.003341,0.023212,0.019544
Saxifragaceae,75.25,0.040888,0.060062,0.036153,0.004736
Schisandraceae,105.40,0.001305,0.000000,0.001305,0.000000
Scrophulariaceae,37.46,0.114321,0.051800,0.103331,0.010989
Simaroubaceae,43.57,0.465144,0.024530,0.099260,0.365883
Smilacaceae,51.37,0.052545,0.000000,0.052545,0.000000
Solanaceae,47.03,0.051369,0.074996,0.044152,0.007217
Styracaceae,63.97,0.003330,0.010723,0.000000,0.003330
Tamaricaceae,38.03,0.000000,0.000000,0.000000,0.000000
Theaceae,58.46,0.003137,0.033073,0.003137,0.000000
Thymelaeaceae,58.69,0.008492,0.027125,0.004307,0.004186
Typhaceae,43.03,0.000000,0.003763,0.000000,0.000000
Ulmaceae,47.95,0.000000,0.006104,0.000000,0.000000
Urticaceae,56.23,0.054340,0.010324,0.043979,0.010360
Verbenaceae,28.39,0.060627,0.142099,0.046802,0.013826
Violaceae,59.05,0.016037,0.073617,0.016037,0.000000
Winteraceae,55.41,0.003397,0.013618,0.000000,0.003397
Xanthorrhoeaceae,63.13,0.005345,0.010590,0.004905,0.000440
Zingiberaceae,83.17,0.007494,0.013423,0.002312,0.005182
Zosteraceae,22.08,0.007765,0.038488,0.000000,0.007765
Zygophyllaceae,72.82,0.076636,0.005542,0.053732,0.022904
